winner,winner_score,loser,loser_score
RdeepBot,73,blitz,20
blitz,65,RdeepBot,55
RdeepBot,69,blitz,13
RdeepBot,73,blitz,47
RdeepBot,67,blitz,24
blitz,68,RdeepBot,52
RdeepBot,66,blitz,14
blitz,56,RdeepBot,64
RdeepBot,76,blitz,5
blitz,67,RdeepBot,53
RdeepBot,75,blitz,0
RdeepBot,68,blitz,25
RdeepBot,78,blitz,21
blitz,61,RdeepBot,59
RdeepBot,67,blitz,6
blitz,73,RdeepBot,41
RdeepBot,76,blitz,0
RdeepBot,85,blitz,55
RdeepBot,75,blitz,19
RdeepBot,79,blitz,41
blitz,66,RdeepBot,40
RdeepBot,66,blitz,43
RdeepBot,72,blitz,7
RdeepBot,69,blitz,0
RdeepBot,74,blitz,26
RdeepBot,71,blitz,22
blitz,67,RdeepBot,20
RdeepBot,78,blitz,14
blitz,68,RdeepBot,13
RdeepBot,69,blitz,40
RdeepBot,78,blitz,14
RdeepBot,66,blitz,12
blitz,73,RdeepBot,47
RdeepBot,68,blitz,27
RdeepBot,81,blitz,0
RdeepBot,102,blitz,0
blitz,75,RdeepBot,32
RdeepBot,78,blitz,62
RdeepBot,90,blitz,0
RdeepBot,70,blitz,5
RdeepBot,80,blitz,21
RdeepBot,69,blitz,9
RdeepBot,73,blitz,34
RdeepBot,72,blitz,0
blitz,57,RdeepBot,63
RdeepBot,66,blitz,30
RdeepBot,76,blitz,14
blitz,69,RdeepBot,51
RdeepBot,76,blitz,14
RdeepBot,69,blitz,51
RdeepBot,67,blitz,39
blitz,75,RdeepBot,0
RdeepBot,68,blitz,0
RdeepBot,76,blitz,10
blitz,79,RdeepBot,20
blitz,65,RdeepBot,55
RdeepBot,75,blitz,41
blitz,70,RdeepBot,29
blitz,67,RdeepBot,53
RdeepBot,73,blitz,20
RdeepBot,66,blitz,20
RdeepBot,68,blitz,32
RdeepBot,80,blitz,14
RdeepBot,83,blitz,0
RdeepBot,67,blitz,22
blitz,60,RdeepBot,60
RdeepBot,71,blitz,0
RdeepBot,72,blitz,0
RdeepBot,73,blitz,33
RdeepBot,66,blitz,0
RdeepBot,67,blitz,20
RdeepBot,69,blitz,18
blitz,94,RdeepBot,46
RdeepBot,68,blitz,0
RdeepBot,67,blitz,0
RdeepBot,83,blitz,6
blitz,75,RdeepBot,65
RdeepBot,69,blitz,0
RdeepBot,79,blitz,27
RdeepBot,72,blitz,48
RdeepBot,68,blitz,0
RdeepBot,82,blitz,45
RdeepBot,74,blitz,20
RdeepBot,70,blitz,0
blitz,60,RdeepBot,60
blitz,75,RdeepBot,35
RdeepBot,68,blitz,0
RdeepBot,74,blitz,5
RdeepBot,73,blitz,6
blitz,67,RdeepBot,13
RdeepBot,67,blitz,0
blitz,72,RdeepBot,48
RdeepBot,67,blitz,0
RdeepBot,79,blitz,0
RdeepBot,67,blitz,6
RdeepBot,67,blitz,0
blitz,68,RdeepBot,40
RdeepBot,68,blitz,52
blitz,55,RdeepBot,65
RdeepBot,69,blitz,51
RdeepBot,69,blitz,0
RdeepBot,69,blitz,18
blitz,83,RdeepBot,57
RdeepBot,76,blitz,5
blitz,76,RdeepBot,25
blitz,74,RdeepBot,28
RdeepBot,66,blitz,0
RdeepBot,87,blitz,47
RdeepBot,72,blitz,26
RdeepBot,66,blitz,54
RdeepBot,74,blitz,0
RdeepBot,69,blitz,0
blitz,73,RdeepBot,54
RdeepBot,67,blitz,26
RdeepBot,95,blitz,45
RdeepBot,74,blitz,0
RdeepBot,74,blitz,7
blitz,66,RdeepBot,27
RdeepBot,69,blitz,0
RdeepBot,75,blitz,4
RdeepBot,67,blitz,14
RdeepBot,71,blitz,12
RdeepBot,69,blitz,33
RdeepBot,68,blitz,0
blitz,74,RdeepBot,14
RdeepBot,95,blitz,13
RdeepBot,108,blitz,0
blitz,62,RdeepBot,58
RdeepBot,66,blitz,20
blitz,75,RdeepBot,45
RdeepBot,67,blitz,34
RdeepBot,70,blitz,13
RdeepBot,67,blitz,0
blitz,66,RdeepBot,47
RdeepBot,72,blitz,15
blitz,74,RdeepBot,0
RdeepBot,67,blitz,0
RdeepBot,66,blitz,0
RdeepBot,67,blitz,0
blitz,68,RdeepBot,52
blitz,58,RdeepBot,62
RdeepBot,67,blitz,26
RdeepBot,75,blitz,10
RdeepBot,60,blitz,60
RdeepBot,68,blitz,52
blitz,81,RdeepBot,46
RdeepBot,67,blitz,60
RdeepBot,73,blitz,47
RdeepBot,69,blitz,12
RdeepBot,73,blitz,41
RdeepBot,66,blitz,14
blitz,74,RdeepBot,21
blitz,64,RdeepBot,56
RdeepBot,70,blitz,0
RdeepBot,67,blitz,28
RdeepBot,87,blitz,0
RdeepBot,71,blitz,28
blitz,72,RdeepBot,35
RdeepBot,67,blitz,21
blitz,76,RdeepBot,25
blitz,73,RdeepBot,47
RdeepBot,62,blitz,58
RdeepBot,66,blitz,12
blitz,62,RdeepBot,58
RdeepBot,78,blitz,28
RdeepBot,68,blitz,0
RdeepBot,68,blitz,0
RdeepBot,74,blitz,13
blitz,60,RdeepBot,60
blitz,66,RdeepBot,26
RdeepBot,76,blitz,6
RdeepBot,74,blitz,21
RdeepBot,68,blitz,19
RdeepBot,69,blitz,51
RdeepBot,67,blitz,19
blitz,66,RdeepBot,19
RdeepBot,78,blitz,0
RdeepBot,75,blitz,14
RdeepBot,75,blitz,15
RdeepBot,69,blitz,14
RdeepBot,68,blitz,0
RdeepBot,58,blitz,62
RdeepBot,66,blitz,0
RdeepBot,73,blitz,12
blitz,73,RdeepBot,33
RdeepBot,68,blitz,19
RdeepBot,72,blitz,35
RdeepBot,69,blitz,0
RdeepBot,67,blitz,53
RdeepBot,71,blitz,0
RdeepBot,82,blitz,4
blitz,60,RdeepBot,60
RdeepBot,71,blitz,0
RdeepBot,68,blitz,0
RdeepBot,71,blitz,49
blitz,67,RdeepBot,53
RdeepBot,68,blitz,19
RdeepBot,67,blitz,53
blitz,68,RdeepBot,39
blitz,74,RdeepBot,33
RdeepBot,73,blitz,0
RdeepBot,66,blitz,6
RdeepBot,69,blitz,51
RdeepBot,66,blitz,33
RdeepBot,74,blitz,39
RdeepBot,82,blitz,25
RdeepBot,70,blitz,35
blitz,67,RdeepBot,0
RdeepBot,69,blitz,0
RdeepBot,73,blitz,0
RdeepBot,67,blitz,0
blitz,72,RdeepBot,56
RdeepBot,73,blitz,20
blitz,91,RdeepBot,41
RdeepBot,66,blitz,6
blitz,67,RdeepBot,41
RdeepBot,82,blitz,0
RdeepBot,72,blitz,48
RdeepBot,70,blitz,36
RdeepBot,69,blitz,0
RdeepBot,80,blitz,0
blitz,78,RdeepBot,42
RdeepBot,82,blitz,14
RdeepBot,70,blitz,27
RdeepBot,72,blitz,49
blitz,74,RdeepBot,20
RdeepBot,105,blitz,0
RdeepBot,70,blitz,0
blitz,59,RdeepBot,61
RdeepBot,74,blitz,41
RdeepBot,77,blitz,12
blitz,73,RdeepBot,62
RdeepBot,73,blitz,13
RdeepBot,73,blitz,53
blitz,70,RdeepBot,50
blitz,67,RdeepBot,48
blitz,57,RdeepBot,63
RdeepBot,73,blitz,27
RdeepBot,75,blitz,6
blitz,103,RdeepBot,29
RdeepBot,67,blitz,0
blitz,81,RdeepBot,59
RdeepBot,84,blitz,0
RdeepBot,67,blitz,19
RdeepBot,73,blitz,47
blitz,66,RdeepBot,40
blitz,66,RdeepBot,31
RdeepBot,82,blitz,13
RdeepBot,68,blitz,5
RdeepBot,69,blitz,0
RdeepBot,68,blitz,24
RdeepBot,67,blitz,0
blitz,74,RdeepBot,20
RdeepBot,76,blitz,18
RdeepBot,81,blitz,59
RdeepBot,66,blitz,22
RdeepBot,76,blitz,34
RdeepBot,75,blitz,0
blitz,87,RdeepBot,32
RdeepBot,73,blitz,0
RdeepBot,77,blitz,0
RdeepBot,74,blitz,28
RdeepBot,74,blitz,7
blitz,79,RdeepBot,41
RdeepBot,76,blitz,5
RdeepBot,66,blitz,13
RdeepBot,78,blitz,7
RdeepBot,68,blitz,0
