winner,winner_score,loser,loser_score
RandBot,72,blitz,0
blitz,74,RandBot,15
blitz,69,RandBot,0
RandBot,65,blitz,55
blitz,67,RandBot,40
blitz,73,RandBot,6
blitz,75,RandBot,40
RandBot,65,blitz,55
RandBot,76,blitz,19
blitz,92,RandBot,28
blitz,76,RandBot,44
blitz,69,RandBot,7
blitz,73,RandBot,47
RandBot,74,blitz,46
blitz,76,RandBot,5
blitz,56,RandBot,64
RandBot,68,blitz,59
blitz,57,RandBot,63
RandBot,81,blitz,39
blitz,70,RandBot,12
blitz,78,RandBot,12
blitz,66,RandBot,54
RandBot,66,blitz,54
RandBot,75,blitz,14
RandBot,69,blitz,0
blitz,59,RandBot,61
blitz,65,RandBot,55
blitz,59,RandBot,61
RandBot,66,blitz,7
blitz,80,RandBot,26
RandBot,73,blitz,0
blitz,66,RandBot,0
RandBot,74,blitz,35
blitz,82,RandBot,38
RandBot,67,blitz,14
RandBot,79,blitz,42
RandBot,55,blitz,65
RandBot,69,blitz,29
blitz,74,RandBot,46
blitz,85,RandBot,28
RandBot,75,blitz,65
RandBot,60,blitz,60
blitz,66,RandBot,36
RandBot,74,blitz,46
blitz,69,RandBot,25
blitz,69,RandBot,12
blitz,68,RandBot,13
blitz,74,RandBot,26
RandBot,76,blitz,0
blitz,66,RandBot,0
blitz,67,RandBot,27
RandBot,78,blitz,0
blitz,100,RandBot,27
blitz,74,RandBot,21
blitz,68,RandBot,25
blitz,78,RandBot,25
blitz,72,RandBot,48
RandBot,69,blitz,26
RandBot,69,blitz,18
RandBot,64,blitz,56
RandBot,69,blitz,8
RandBot,55,blitz,65
RandBot,66,blitz,57
blitz,70,RandBot,5
RandBot,76,blitz,0
blitz,67,RandBot,13
blitz,62,RandBot,58
RandBot,71,blitz,28
RandBot,69,blitz,51
RandBot,70,blitz,15
blitz,67,RandBot,27
RandBot,66,blitz,0
blitz,62,RandBot,58
blitz,69,RandBot,0
RandBot,61,blitz,59
blitz,66,RandBot,0
RandBot,76,blitz,30
blitz,67,RandBot,0
RandBot,66,blitz,40
blitz,67,RandBot,0
RandBot,68,blitz,0
blitz,78,RandBot,13
blitz,81,RandBot,35
blitz,78,RandBot,25
blitz,76,RandBot,20
RandBot,71,blitz,35
blitz,68,RandBot,33
RandBot,62,blitz,58
blitz,68,RandBot,65
blitz,75,RandBot,39
RandBot,72,blitz,56
RandBot,62,blitz,58
RandBot,66,blitz,54
blitz,78,RandBot,27
RandBot,73,blitz,33
blitz,85,RandBot,21
blitz,68,RandBot,59
blitz,77,RandBot,17
blitz,72,RandBot,48
blitz,73,RandBot,13
blitz,66,RandBot,20
RandBot,79,blitz,0
RandBot,66,blitz,5
blitz,74,RandBot,6
blitz,74,RandBot,34
blitz,67,RandBot,7
RandBot,68,blitz,32
blitz,69,RandBot,25
RandBot,61,blitz,59
RandBot,57,blitz,63
RandBot,74,blitz,19
blitz,68,RandBot,0
RandBot,67,blitz,20
blitz,66,RandBot,28
blitz,59,RandBot,61
blitz,71,RandBot,7
RandBot,74,blitz,39
blitz,81,RandBot,55
blitz,66,RandBot,27
blitz,82,RandBot,5
blitz,59,RandBot,61
RandBot,81,blitz,39
RandBot,67,blitz,48
blitz,68,RandBot,20
blitz,63,RandBot,57
blitz,73,RandBot,21
RandBot,58,blitz,62
RandBot,72,blitz,48
RandBot,61,blitz,59
blitz,78,RandBot,15
blitz,69,RandBot,12
blitz,84,RandBot,11
RandBot,69,blitz,44
blitz,77,RandBot,43
RandBot,74,blitz,49
RandBot,66,blitz,45
RandBot,72,blitz,47
RandBot,61,blitz,59
RandBot,89,blitz,0
blitz,70,RandBot,12
blitz,69,RandBot,6
blitz,75,RandBot,0
RandBot,67,blitz,47
blitz,75,RandBot,45
blitz,67,RandBot,13
blitz,70,RandBot,5
RandBot,76,blitz,0
blitz,75,RandBot,22
blitz,80,RandBot,19
blitz,67,RandBot,25
RandBot,59,blitz,61
blitz,68,RandBot,5
RandBot,75,blitz,9
blitz,68,RandBot,20
RandBot,73,blitz,47
blitz,66,RandBot,20
blitz,71,RandBot,0
RandBot,75,blitz,39
blitz,111,RandBot,39
blitz,72,RandBot,34
blitz,72,RandBot,48
blitz,83,RandBot,37
blitz,72,RandBot,48
RandBot,66,blitz,41
RandBot,67,blitz,60
blitz,75,RandBot,0
blitz,73,RandBot,0
blitz,60,RandBot,60
RandBot,85,blitz,55
blitz,74,RandBot,21
blitz,73,RandBot,4
blitz,82,RandBot,19
RandBot,73,blitz,36
blitz,69,RandBot,0
RandBot,68,blitz,34
blitz,58,RandBot,62
blitz,75,RandBot,32
blitz,67,RandBot,53
blitz,68,RandBot,0
blitz,68,RandBot,21
RandBot,68,blitz,27
blitz,82,RandBot,25
RandBot,77,blitz,43
blitz,74,RandBot,5
RandBot,66,blitz,0
blitz,74,RandBot,0
blitz,61,RandBot,59
RandBot,72,blitz,20
RandBot,75,blitz,45
blitz,73,RandBot,0
blitz,79,RandBot,0
RandBot,66,blitz,49
blitz,69,RandBot,51
blitz,68,RandBot,20
RandBot,75,blitz,36
RandBot,70,blitz,0
blitz,76,RandBot,32
RandBot,66,blitz,6
blitz,79,RandBot,20
blitz,74,RandBot,13
blitz,67,RandBot,48
RandBot,75,blitz,45
RandBot,67,blitz,53
blitz,69,RandBot,17
RandBot,72,blitz,35
RandBot,66,blitz,0
blitz,73,RandBot,26
blitz,81,RandBot,12
blitz,73,RandBot,12
blitz,75,RandBot,38
blitz,69,RandBot,13
blitz,67,RandBot,27
RandBot,68,blitz,0
blitz,71,RandBot,28
blitz,68,RandBot,65
blitz,75,RandBot,25
blitz,67,RandBot,0
RandBot,70,blitz,12
blitz,69,RandBot,0
blitz,67,RandBot,0
RandBot,73,blitz,13
blitz,78,RandBot,12
RandBot,62,blitz,58
blitz,73,RandBot,0
RandBot,72,blitz,20
blitz,95,RandBot,33
RandBot,66,blitz,28
blitz,83,RandBot,25
RandBot,66,blitz,13
blitz,73,RandBot,0
RandBot,72,blitz,0
blitz,66,RandBot,0
RandBot,67,blitz,0
blitz,76,RandBot,5
blitz,75,RandBot,58
RandBot,67,blitz,48
RandBot,75,blitz,45
blitz,77,RandBot,0
RandBot,73,blitz,13
blitz,71,RandBot,0
blitz,66,RandBot,60
blitz,77,RandBot,6
RandBot,70,blitz,52
RandBot,70,blitz,38
blitz,82,RandBot,18
blitz,68,RandBot,0
RandBot,68,blitz,7
blitz,79,RandBot,41
blitz,68,RandBot,46
blitz,68,RandBot,13
blitz,68,RandBot,33
blitz,71,RandBot,28
blitz,85,RandBot,9
blitz,76,RandBot,46
RandBot,69,blitz,5
blitz,79,RandBot,0
RandBot,93,blitz,0
RandBot,66,blitz,39
RandBot,66,blitz,54
RandBot,69,blitz,18
blitz,104,RandBot,24
blitz,61,RandBot,59
blitz,66,RandBot,0
blitz,70,RandBot,0
blitz,76,RandBot,14
RandBot,73,blitz,47
blitz,75,RandBot,45
